text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
es_wr_c1_23_15_3_ivr,inter_sentential_v2,once,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,1,2.9940119760479043,334,parser_full_text
es_wr_c1_23_15_3_jsfd,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,2.1459227467811157,466,parser_full_text
es_wr_c1_23_15_3_jsfd,inter_sentential_v2,in the end,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,2.1459227467811157,466,parser_full_text
es_wr_c1_23_15_3_jsfd,inter_sentential_v2,throughout,intersent_enh_spatio_temporal_complex_durative,Enhancement,Spatio-temporal,Complex,Durative,,,1,2.1459227467811157,466,parser_full_text
es_wr_c1_23_15_3_prm,inter_sentential_v2,hence,intersent_enh_caus_general,Enhancement,Causal-Conditional,General,,,,1,2.7777777777777777,360,parser_full_text
es_wr_c1_23_15_3_prm,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,2.7777777777777777,360,parser_full_text
es_wr_c1_23_15_3_prm,inter_sentential_v2,in fact,intersent_elab_clar_verif,Elaboration,Clarifying,Verificative,,,,1,2.7777777777777777,360,parser_full_text
es_wr_c1_23_16_14_erg,inter_sentential_v2,in the end,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,2,5.291005291005291,378,parser_full_text
es_wr_c1_23_16_14_erg,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,2.6455026455026456,378,parser_full_text
es_wr_c1_23_16_3_srs,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,2.1645021645021645,462,parser_full_text
es_wr_c1_23_17_13_kc,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,2.5316455696202533,395,parser_full_text
es_wr_c1_23_17_13_kc,inter_sentential_v2,in the morning,intersent_enh_spatio_temporal_complex_specific,Enhancement,Spatio-temporal,Complex,Specific,,,1,2.5316455696202533,395,parser_full_text
es_wr_c1_23_17_13_kc,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,5.063291139240507,395,parser_full_text
es_wr_c1_23_17_14_cfgm,inter_sentential_v2,finally,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,2.1929824561403506,456,parser_full_text
