text_id,taxis,n_cases
gig_1132d,paratactic,1
gig_1132e,paratactic,4
gig_1132f,hypotactic,5
gig_1132g,hypotactic,2
gig_1132g,paratactic,3
gig_1133,hypotactic,1
gig_1134d,hypotactic,1
gig_1134d,paratactic,2
gig_1135c,hypotactic,2
gig_1135c,paratactic,6
gig_1135f,paratactic,5
gig_1135g,paratactic,6
gig_1135h,hypotactic,7
gig_1135h,paratactic,6
gig_1135i,hypotactic,3
gig_1135i,paratactic,2
gig_1136a,hypotactic,1
gig_1136a,paratactic,1
gig_1136b,paratactic,1
gig_1137b,hypotactic,1
gig_1137c,hypotactic,1
gig_1137d,hypotactic,2
gig_1137d,paratactic,5
gig_1137e,hypotactic,1
gig_1137e,paratactic,1
gig_1137g,paratactic,1
gig_1138a,hypotactic,3
gig_1138a,paratactic,1
gig_1138b,hypotactic,2
gig_1138d,hypotactic,2
