text_id,taxis,n_cases
de_wr_b2_18_8_13_ld,hypotactic,6
de_wr_b2_18_8_13_ld,paratactic,2
de_wr_b2_18_9_14_tb,hypotactic,5
de_wr_b2_18_9_14_tb,paratactic,2
de_wr_b2_19_10_14_al,hypotactic,5
de_wr_b2_19_10_14_al,paratactic,2
de_wr_b2_19_10_14_alk,hypotactic,11
de_wr_b2_19_10_14_ar,hypotactic,3
de_wr_b2_19_10_14_ea,hypotactic,5
de_wr_b2_19_10_14_lg,hypotactic,3
de_wr_b2_19_10_14_lg,paratactic,1
de_wr_b2_19_10_14_vj,hypotactic,9
de_wr_b2_19_10_14_vj,paratactic,2
de_wr_b2_19_11_13_ks,hypotactic,5
de_wr_b2_19_11_13_ks,paratactic,2
de_wr_b2_19_11_14_gd,hypotactic,5
de_wr_b2_19_11_14_gd,paratactic,1
de_wr_b2_19_8_14_bh,hypotactic,6
de_wr_b2_19_8_14_bh,paratactic,1
de_wr_b2_19_9_13_ia,hypotactic,4
de_wr_b2_19_9_13_ia,paratactic,3
de_wr_b2_20_10.5_13_gd,hypotactic,4
de_wr_b2_20_10.5_13_gd,paratactic,3
de_wr_b2_20_10.5_14_ad,hypotactic,3
de_wr_b2_20_10.5_14_ad,paratactic,1
de_wr_b2_20_10_13_mg,hypotactic,3
de_wr_b2_20_10_13_mg,paratactic,3
de_wr_b2_20_10_14_sa,hypotactic,6
de_wr_b2_20_10_14_sa,paratactic,1
de_wr_b2_20_12_13_at,hypotactic,4
de_wr_b2_20_12_13_lh,hypotactic,4
de_wr_b2_20_12_13_vk,hypotactic,6
de_wr_b2_20_12_13_vk,paratactic,2
de_wr_b2_20_12_14_ck,hypotactic,3
de_wr_b2_20_12_14_ck,paratactic,3
de_wr_b2_20_12_14_eb,hypotactic,7
de_wr_b2_20_13_14_cf,hypotactic,8
de_wr_b2_20_13_14_cf,paratactic,1
de_wr_b2_20_13_14_sc,hypotactic,4
de_wr_b2_20_13_14_sc,paratactic,1
de_wr_b2_20_16_14_pc,hypotactic,4
de_wr_b2_20_16_14_pc,paratactic,1
de_wr_b2_20_8_13_ja,hypotactic,5
de_wr_b2_20_8_13_ja,paratactic,2
de_wr_b2_20_9_13_lr,hypotactic,4
de_wr_b2_20_9_13_lr,paratactic,1
de_wr_b2_21_11_13_js,hypotactic,5
de_wr_b2_21_11_13_js,paratactic,1
de_wr_b2_21_11_14_ng,hypotactic,5
de_wr_b2_21_11_14_ng,paratactic,5
de_wr_b2_21_12_13_vr,hypotactic,8
de_wr_b2_21_12_13_vr,paratactic,4
de_wr_b2_21_13_13_ck,hypotactic,5
de_wr_b2_21_13_13_ck,paratactic,5
de_wr_b2_21_13_14_ds,hypotactic,8
de_wr_b2_21_13_14_ds,paratactic,3
de_wr_b2_21_13_14_ts,hypotactic,9
de_wr_b2_21_13_14_ts,paratactic,1
de_wr_b2_21_19_14_ns,hypotactic,5
de_wr_b2_21_19_14_ns,paratactic,1
de_wr_b2_21_8_13_ls,hypotactic,4
de_wr_b2_21_8_13_ls,paratactic,1
de_wr_b2_21_9_14_ar,hypotactic,7
de_wr_b2_21_9_14_ar,paratactic,2
de_wr_b2_22_11_13_jm,hypotactic,9
de_wr_b2_22_11_13_jm,paratactic,2
de_wr_b2_22_11_14_ak,hypotactic,5
de_wr_b2_22_11_14_ak,paratactic,5
de_wr_b2_22_13.5_14_ps,hypotactic,5
de_wr_b2_22_13.5_14_ps,paratactic,1
de_wr_b2_22_15_14_lso,hypotactic,4
de_wr_b2_22_15_14_lso,paratactic,1
de_wr_b2_23_12_13_am,hypotactic,4
de_wr_b2_23_12_13_am,paratactic,4
de_wr_b2_23_12_13_sa,hypotactic,4
de_wr_b2_23_14_14_ct,hypotactic,2
de_wr_b2_23_14_14_ct,paratactic,1
de_wr_b2_23_14_14_gz,hypotactic,3
de_wr_b2_23_16_14_aq,hypotactic,5
de_wr_b2_23_16_14_aq,paratactic,1
de_wr_b2_23_16_14_ls,hypotactic,3
de_wr_b2_23_16_14_ls,paratactic,4
de_wr_b2_23_21_13_lb,hypotactic,5
de_wr_b2_23_21_13_lb,paratactic,3
de_wr_b2_24_11_13_lt,hypotactic,8
de_wr_b2_24_11_13_lt,paratactic,3
de_wr_b2_24_17_13_rs,hypotactic,2
de_wr_b2_24_17_13_rs,paratactic,1
de_wr_b2_25_14_13_gp,hypotactic,4
de_wr_b2_25_14_13_gp,paratactic,7
de_wr_b2_25_19_14_arb,hypotactic,8
de_wr_b2_25_19_14_arb,paratactic,1
de_wr_b2_26_12_13_ss,hypotactic,4
de_wr_b2_26_12_13_ss,paratactic,2
de_wr_b2_27_16_13_kk,hypotactic,4
de_wr_b2_27_16_13_kk,paratactic,4
de_wr_b2_29_20_14_er,hypotactic,3
de_wr_b2_31_12_14_pl,hypotactic,5
de_wr_b2_31_12_14_pl,paratactic,5
de_wr_b2_52_11_13_re,hypotactic,3
de_wr_b2_52_11_13_re,paratactic,5
de_wr_c1_17_8.5_14_ak,hypotactic,3
de_wr_c1_17_8.5_14_ak,paratactic,2
de_wr_c1_18_10_14_hm,hypotactic,4
de_wr_c1_18_11_14_ak,hypotactic,9
de_wr_c1_18_11_14_jj,hypotactic,6
de_wr_c1_18_11_14_jj,paratactic,2
de_wr_c1_19_10.5_13_ag,hypotactic,6
de_wr_c1_19_10.5_13_ag,paratactic,2
de_wr_c1_19_10_13_cd,hypotactic,3
de_wr_c1_19_10_13_cd,paratactic,2
de_wr_c1_19_10_13_dt,hypotactic,2
de_wr_c1_19_10_14_mw,hypotactic,9
de_wr_c1_19_10_14_mw,paratactic,3
de_wr_c1_19_11_13_cg,hypotactic,6
de_wr_c1_19_11_13_cg,paratactic,1
de_wr_c1_19_11_13_mp,hypotactic,5
de_wr_c1_19_11_14_cs,hypotactic,4
de_wr_c1_19_11_14_cs,paratactic,1
de_wr_c1_19_11_14_jb,hypotactic,3
de_wr_c1_19_11_14_jb,paratactic,2
de_wr_c1_19_11_14_lm,hypotactic,4
de_wr_c1_19_11_14_lm,paratactic,2
de_wr_c1_19_11_14_nc,hypotactic,6
de_wr_c1_19_11_14_nc,paratactic,1
de_wr_c1_19_12_14_ed,hypotactic,5
de_wr_c1_19_12_14_ed,paratactic,1
de_wr_c1_19_12_14_kw,hypotactic,7
de_wr_c1_19_12_14_kw,paratactic,2
de_wr_c1_19_12_14_llb,hypotactic,4
de_wr_c1_19_12_14_llb,paratactic,1
de_wr_c1_19_15_13_fs,hypotactic,3
de_wr_c1_19_15_13_fs,paratactic,1
de_wr_c1_19_8_14_on,hypotactic,5
de_wr_c1_19_8_14_on,paratactic,1
de_wr_c1_19_9_14_ak,hypotactic,8
de_wr_c1_19_9_14_ak,paratactic,2
de_wr_c1_20_10_14_mh,hypotactic,10
de_wr_c1_20_10_14_mh,paratactic,4
de_wr_c1_20_10_14_sb,hypotactic,9
de_wr_c1_20_10_14_sb,paratactic,3
de_wr_c1_20_11_13_ak,hypotactic,8
de_wr_c1_20_11_13_ak,paratactic,4
de_wr_c1_20_11_13_lk,hypotactic,6
de_wr_c1_20_11_13_lk,paratactic,2
de_wr_c1_20_11_13_nl,hypotactic,3
de_wr_c1_20_11_13_nl,paratactic,4
de_wr_c1_20_11_14_alb,hypotactic,3
de_wr_c1_20_11_14_as,hypotactic,9
de_wr_c1_20_11_14_nsw,hypotactic,5
de_wr_c1_20_12.5_14_jv,hypotactic,7
de_wr_c1_20_12.5_14_jv,paratactic,3
de_wr_c1_20_12_13_mn,hypotactic,3
de_wr_c1_20_12_13_mn,paratactic,2
de_wr_c1_20_12_14_ab,hypotactic,5
de_wr_c1_20_12_14_ab,paratactic,7
de_wr_c1_20_12_14_ah,hypotactic,6
de_wr_c1_20_12_14_ah,paratactic,4
de_wr_c1_20_12_14_jk,hypotactic,8
de_wr_c1_20_12_14_jk,paratactic,5
de_wr_c1_20_12_14_jo,hypotactic,7
de_wr_c1_20_12_14_jo,paratactic,2
de_wr_c1_20_12_14_js,hypotactic,3
de_wr_c1_20_12_14_js,paratactic,2
de_wr_c1_20_12_14_jt,hypotactic,4
de_wr_c1_20_12_14_jt,paratactic,4
de_wr_c1_20_12_14_jv,hypotactic,4
de_wr_c1_20_12_14_jv,paratactic,2
de_wr_c1_20_12_14_kh,hypotactic,5
de_wr_c1_20_12_14_khm,hypotactic,3
de_wr_c1_20_12_14_khm,paratactic,1
de_wr_c1_20_12_14_ll,hypotactic,7
de_wr_c1_20_12_14_ll,paratactic,4
de_wr_c1_20_12_14_md,hypotactic,7
de_wr_c1_20_12_14_md,paratactic,4
de_wr_c1_20_12_14_mdd,hypotactic,11
de_wr_c1_20_12_14_mdd,paratactic,1
de_wr_c1_20_12_14_nr,hypotactic,10
de_wr_c1_20_12_14_nr,paratactic,3
de_wr_c1_20_12_14_ns,hypotactic,3
de_wr_c1_20_12_14_sk,hypotactic,4
de_wr_c1_20_12_14_sk,paratactic,3
de_wr_c1_20_12_14_tz,hypotactic,6
de_wr_c1_20_12_14_tz,paratactic,2
de_wr_c1_20_12_14_vs,hypotactic,16
de_wr_c1_20_12_14_vs,paratactic,6
de_wr_c1_20_15_14_lh,hypotactic,5
de_wr_c1_20_15_14_lh,paratactic,4
de_wr_c1_20_15_14_pj,hypotactic,7
de_wr_c1_20_15_14_pj,paratactic,3
de_wr_c1_20_9_13_as,hypotactic,2
de_wr_c1_20_9_13_as,paratactic,5
de_wr_c1_21_10_13_sl,hypotactic,8
de_wr_c1_21_10_14_ae,hypotactic,5
de_wr_c1_21_11.5_14_rd,hypotactic,4
de_wr_c1_21_11.5_14_rd,paratactic,2
de_wr_c1_21_11_13_at,hypotactic,4
de_wr_c1_21_11_13_at,paratactic,2
de_wr_c1_21_11_13_fl,hypotactic,3
de_wr_c1_21_11_13_fl,paratactic,3
de_wr_c1_21_11_13_id,hypotactic,7
de_wr_c1_21_11_13_sh,hypotactic,8
de_wr_c1_21_11_13_sh,paratactic,5
de_wr_c1_21_11_13_ss,hypotactic,4
de_wr_c1_21_11_13_ss,paratactic,4
de_wr_c1_21_11_14_jb,hypotactic,8
de_wr_c1_21_11_14_jv,hypotactic,7
de_wr_c1_21_11_14_jv,paratactic,1
de_wr_c1_21_12.5_14_mr,hypotactic,3
de_wr_c1_21_12.5_14_mr,paratactic,1
de_wr_c1_21_12.5_14_vld,hypotactic,8
de_wr_c1_21_12_13_jb,hypotactic,4
de_wr_c1_21_12_13_jb,paratactic,1
de_wr_c1_21_12_13_lj,hypotactic,10
de_wr_c1_21_12_13_lj,paratactic,1
de_wr_c1_21_12_14_fs,hypotactic,6
de_wr_c1_21_12_14_fs,paratactic,1
de_wr_c1_21_12_14_mcn,hypotactic,8
de_wr_c1_21_12_14_mcn,paratactic,1
de_wr_c1_21_13.5_14_tl,hypotactic,2
de_wr_c1_21_13.5_14_tl,paratactic,1
de_wr_c1_21_13_13_le,hypotactic,6
de_wr_c1_21_13_13_le,paratactic,1
de_wr_c1_21_13_13_ss,hypotactic,6
de_wr_c1_21_13_13_ss,paratactic,3
de_wr_c1_21_13_14_cjk,hypotactic,5
de_wr_c1_21_13_14_cjk,paratactic,1
de_wr_c1_21_13_14_gw,hypotactic,8
de_wr_c1_21_13_14_gw,paratactic,1
de_wr_c1_21_13_14_hg,hypotactic,5
de_wr_c1_21_13_14_hg,paratactic,2
de_wr_c1_21_13_14_lm,hypotactic,4
de_wr_c1_21_13_14_lm,paratactic,2
de_wr_c1_21_13_14_lr,hypotactic,2
