text_id,macro_category,n_cases
gig_1085a,Enhancement,6
gig_1085b,Enhancement,9
gig_1085b,Extension,2
gig_1086,Enhancement,5
gig_1087a,Enhancement,7
gig_1087a,Extension,4
gig_1087b,Elaboration,1
gig_1087b,Enhancement,7
gig_1087b,Extension,2
gig_1088a,Elaboration,3
gig_1088a,Enhancement,14
gig_1088a,Extension,2
gig_1088b,Elaboration,1
gig_1088b,Enhancement,21
gig_1088b,Extension,6
gig_1089a,Elaboration,1
gig_1089a,Enhancement,15
gig_1089a,Extension,3
gig_1089b,Elaboration,2
gig_1089b,Enhancement,16
gig_1089b,Extension,1
gig_108a,Enhancement,6
gig_108a,Extension,1
gig_108b,Enhancement,3
gig_108b,Extension,1
gig_108c,Elaboration,1
gig_108c,Enhancement,6
gig_108c,Extension,1
gig_1090,Elaboration,2
gig_1090,Enhancement,12
gig_1090,Extension,3
gig_1091b,Enhancement,2
gig_1091b,Extension,1
gig_1091c,Elaboration,1
gig_1091c,Enhancement,4
gig_1091d,Enhancement,13
gig_1091e,Enhancement,10
gig_1091e,Extension,1
gig_1091f,Enhancement,5
gig_1091f,Extension,1
gig_1092a,Enhancement,1
gig_1092b,Elaboration,2
gig_1092b,Enhancement,3
gig_1092c,Enhancement,5
gig_1092c,Extension,1
gig_1092d,Enhancement,7
gig_1092e,Elaboration,1
gig_1092e,Enhancement,1
gig_1092e,Extension,5
gig_1093a,Extension,2
gig_1093b,Enhancement,1
gig_1093b,Extension,1
gig_1093c,Elaboration,1
gig_1093c,Enhancement,1
gig_1093d,Enhancement,1
gig_1093d,Extension,1
gig_1093e,Elaboration,1
gig_1093e,Enhancement,3
gig_1093e,Extension,2
gig_1094a,Enhancement,2
gig_1094a,Extension,1
gig_1094b,Enhancement,2
gig_1094c,Elaboration,2
gig_1094c,Enhancement,2
gig_1094c,Extension,1
gig_1094d,Enhancement,10
gig_1094d,Extension,2
gig_1094e,Enhancement,2
gig_1094e,Extension,1
gig_1095a,Enhancement,1
gig_1095a,Extension,1
gig_1095b,Enhancement,12
gig_1095b,Extension,4
gig_1095c,Enhancement,1
gig_1095d,Enhancement,17
gig_1095d,Extension,8
gig_1095e,Elaboration,2
gig_1095e,Enhancement,8
gig_1095e,Extension,1
gig_1095f,Enhancement,3
gig_1096a,Enhancement,1
gig_1096a,Extension,1
gig_1096b,Enhancement,5
gig_1096c,Enhancement,5
gig_1096d,Enhancement,5
gig_1096d,Extension,1
gig_1096e,Enhancement,6
gig_1096e,Extension,1
gig_1097a,Elaboration,1
gig_1097a,Enhancement,6
gig_1097a,Extension,1
gig_1097b,Enhancement,3
